No.,D:名前,表示名,S:生存者,S:フルネーム (あいうえお順),D:Name,S:Name (A-Y),D:生まれ年 (00-10),D:生年月日 (yyyy.mm.dd),S:生年月日 (yyyy.mm.dd),D:身長 (cm),S:身長 (cm),D:出身,S:出身,D:シグナルソングA-F,S:シグナルソングA-F,D:レベル分け評価A-F-候補,S:レベル分け評価A-F-候補,D:レベル分け評価チーム名,S:レベル分け評価チーム名,D:グループ評価チーム班,S:グループ評価チーム班,D:ポジション評価チーム曲,S:ポジション評価チーム曲,D:コンセプト評価チーム曲,S:コンセプト評価チーム曲,D:シグナルソングチッケム再生回数 (2026.05.23),S:シグナルソングチッケム再生回数 (2026.05.23),D:グループ評価チッケム再生回数 (2026.05.23),S:グループ評価チッケム再生回数 (2026.05.23),D:ポジション評価チッケム再生回数 (2026.05.23),S:ポジション評価チッケム再生回数 (2026.05.23),D:コンセプト評価チッケム再生回数 (2026.05.23),S:コンセプト評価チッケム再生回数 (2026.05.23),D:#5順位 (第1回順位発表式),S:#5順位 (第1回順位発表式),D:#8順位 (第2回順位発表式),S:#8順位 (第2回順位発表式),D:#10順位 (第3回順位発表式),S:#10順位 (第3回順位発表式),D:総合pt (第3回順位発表式),D:ベネ無しpt (第3回順位発表式),S:ベネ無し (第3回順位発表式),D:国民投票pt (第3回順位発表式),S:国民投票のみの順位 (第3回順位発表式),D:SEKAI投票pt (第3回順位発表式),S:SEKAI投票のみの順位 (第3回順位発表式),img
37,田中蒔,田中蒔,23,たなかまき,MAKI,MAKI, (04) ,2004.06.06,2004/06/06,173,173,静岡県,22,F,88,(D),73,楽,342,IRIS OUT 2班,21,My Grandfather's Clock,39,Fuego,21,181002,181002,30736,30736,57431,57431,21225,21225,30位 (1↓),30,34位 (4↓),34,22位 (12↑),22,ー,ー,23,ー,23,ー,23,./img/trainees/imgi_40_tanakamaki.jpg
41,小清水蓮,小清水蓮,〇,こしみずれん,KO.REN,REN, (06) ,2006.04.10,2006/04/10,170,170,宮崎県,45,F,85,(C),51,蓮蓮蓮,82,Bite Me 2班,36,BE CLASSIC,26,Neko,27,137396,137396,16219,16219,39796,39796,22814,22814,14位 (2↓),14,20位 (4↓),20,23位 (3↓),23,134949,"134,942",22,56660,21,78281,7,./img/trainees/imgi_44_koshimizuren.jpg
45,今江陸斗,今江陸斗,24,いまえりくと,I.RIKUTO,RIKUTO, (05) ,2005.10.14,2005/10/14,178,178,東京都,13,D,59,(B),23,フルスイング,331,Bite Me 2班,35,BE CLASSIC,27,Fuego,20,95168,95168,26680,26680,99772,99772,35599,35599,31位 (5↑),31,35位 (6↓),35,24位 (11↑),24,ー,ー,24,ー,24,ー,24,./img/trainees/imgi_48_imaerikuto.jpg
28,横山奏夢,横山奏夢,25,よこやまかなめ,KANAME,KANAME, (03) ,2003.07.29,2003/07/29,172,172,石川県,17,C,37,(A),5,Spicy兄弟,321,唱 2班,52,WORK HARD,43,KICK,11,386198,386198,41015,41015,143249,143249,24567,24567,21位 (5↑),21,23位 (1↑),23,25位 (2↓),25,ー,ー,25,ー,25,ー,25,./img/trainees/imgi_31_yokoyamakaname.jpg
35,浅香孝太郎,浅香孝太郎,26,あさかこうたろう,KOTARO,KOTARO, (03) ,2003.04.03,2003/04/03,177,177,大阪府,27,D,71,(D),72,Pick-a-boo,372,ラブシカ 2班,74,Natural,19,KICK,12,107254,107254,25668,25668,78932,78932,19136,19136,18位 (6↑),18,17位 (4↑),17,26位 (9↓),26,ー,ー,26,ー,26,ー,26,./img/trainees/imgi_38_asakakotaro.jpg
59,山下柊,山下柊,27,やましたしゅう,Y.SHU,SHU, (06) ,2006.12.15,2006/12/15,173,173,神奈川県,14,C,48,(C),55,FRESH-MEN,3,最高到達点1班,79,DOMINANCE,3,Neko,28,88597,88597,23941,23941,72818,72818,23784,23784,34位 (3↓),34,22位 (12↑),22,27位 (5↓),27,ー,ー,27,ー,27,ー,27,./img/trainees/imgi_62_yamashitashu.jpg
20,ユンジェヨン,ユンジェヨン,28,ゆんじぇよん,JAEYONG,JAEYONG, (05) ,2005.04.03,2005/04/03,177,177,インチョン,AF,A,15,(D),68,たなぼた,274,Energetic 1班,59,宿命,16,DREAMER,4,49012,49012,20618,20618,64562,64562,18732,18732,33位 (ー),33,25位 (10↑),25,28位 (3↓),28,ー,ー,28,ー,28,ー,28,./img/trainees/imgi_23_yoonjaeyong.jpg
50,石田亮太,石田亮太,29,いしだりょうた,RYOTA,RYOTA, (03) ,2003.09.14,2003/09/14,170,170,神奈川県,14,A,8,(B),25,Dream Again,61,LOUD 1班,5,Natural,22,KICK,13,90208,90208,16071,16071,36977,36977,12285,12285,38位 (ー),38,30位 (7↑),30,29位 (1↑),29,ー,ー,29,ー,29,ー,29,./img/trainees/imgi_53_ishidaryota.jpg
93,イヒョンジェ,イヒョンジェ,30,いひょんじぇ,HYUNJAE,HYUNJAE, (08) ,2008.05.16,2008/05/16,171,171,ソウル,AD,C,56,(F),90,ソウルメイト,162,Bite Me 1班,31,ベテルギウス,48,Neko,25,74661,74661,17960,17960,91060,91060,21420,21420,20位 (1↑),20,24位 (1↑),24,30位 (6↓),30,ー,ー,30,ー,30,ー,30,./img/trainees/imgi_96_leehyunjae.jpg
13,小笠原ジュゼッペ慧,ジュゼッペ,31,おがさわらじゅぜっぺけい,GIUSEPPE,GIUSEPPE, (06) ,2006.01.13,2006/01/13,182,182,東京都,13,B,17,(A),2,Runway,201,Energetic 1班,58,WORK HARD,44,Fuego,16,72260,72260,18236,18236,58268,58268,12317,12317,28位 (8↓),28,29位 (2↓),29,31位 (2↓),31,ー,ー,31,ー,31,ー,31,./img/trainees/imgi_16_ogasawaragiuseppekei.jpg
81,大林悠成,大林悠成,32,おおばやしゆうせい,O.YUSEI,YUSEI, (01) ,2001.09.07,2001/09/07,177,177,京都府,26,A,12,(B),33,BUZZ UP!,171,LOUD 1班,3,DOMINANCE,2,KICK,8,130475,130475,27596,27596,29897,29897,13548,13548,24位 (2↓),24,27位 (4↓),27,32位 (5↓),32,ー,ー,32,ー,32,ー,32,./img/trainees/imgi_84_obayashiyusei.jpg
5,篠ヶ谷歩夢,篠ヶ谷歩夢,33,しのがやあゆむ,S.AYUMU,AYUMU, (01) ,2001.07.24,2001/07/24,175,175,静岡県,22,B,26,(C),36,Log IN!,13,LOUD 1班,1,ベテルギウス,49,Neko,23,71984,71984,13728,13728,57723,57723,11883,11883,32位 (2↓),32,33位 (ー),33,33位 (ー),33,ー,ー,33,ー,33,ー,33,./img/trainees/imgi_8_shinogayaayumu.jpg
